集團名稱,count
2352  明基友達集團,27
6241  台鋼集團,19
2317  鴻海集團,18
1605  華新麗華集團,15
1301  台塑集團,10
1907  永豐餘集團,9
1402  遠東集團,9
1504  東元電機集團,9
1216  統一集團,8
2915  潤泰集團,8
2412  中華電信集團,8
2603  長榮集團,8
2303  聯電集團,8
2357  華碩集團,8
2353  宏碁集團,8
2002  中鋼集團,7
1229  聯華神通集團,7
1316A 啟航投資集團,7
5483B 中美晶集團,7
6404  涂俊光家族,7
2312  金仁寶集團,7
1444  力麗集團,6
2905  三商行集團,6
2388  威盛集團,6
2201  裕隆集團,6
4938  和碩集團,6
3231  緯創資通集團,5
2487  羅森洲集團,5
2539A 寶佳建設機構,5
2454  聯發科集團,5
Z312  嘉績企業集團,5
3260  威剛集團,5
3010  華立集團,5
2374  能率集團,5
2392  正崴集團,5
1304  台聚集團,5
9956  三立電視集團,5
2330  台積電集團,5
2379  瑞昱集團,4
4123  晟德集團,4
2349  錸德集團,4
1457  宜進集團,4
2362  群光藍天集團,4
2382  廣達集團,4
2327  國巨集團,4
1536  和大集團,4
1217  耐斯集團,3
8016  矽創,3
1503  仰德集團,3
9933  中鼎工程集團,3
5536  聖暉,3
6143  振曜科技集團,3
1440  台南幫集團,3
58DOF 三地集團,3
1521  大億企業集團,3
9925  新保,3
4128  中天生技集團,3
4105A 東洋集團,3
2319  大眾集團,3
1716  永信藥品集團,3
4104  佳醫集團,3
2027  大成鋼集團,3
4526  東台集團,3
2504  國產實業集團,3
1419  新紡集團,3
2401  凌陽集團,3
2323  中環集團,3
1235  興泰,3
2505  國揚集團,3
2301  光寶集團,3
2390  云辰集團,3
2413  環科,3
2865  國寶集團,3
6012  金鼎證券集團,3
5326  漢民科技集團,3
1720  生達集團,3
2881  富邦集團,3
6269A 華威國際集團,3
2832  領航建設集團,3
2901  退輔會集團,3
1904  正隆集團,3
2601  益航集團,3
1718  中纖集團,3
5007A 楊龍集團,3
6244  茂迪集團,3
1731  美吾華集團,3
6167  久正光電集團,3
1101  台泥集團,3
5522  遠雄集團,3
2849  宏泰集團,3
2311  日月光集團,3
2542  興富發集團,3
2467  志聖,3
2416  世平集團,3
2481  強茂集團,3
3522B 昭沁國際,3
6712  長聖,2
8383  千附集團,2
8422  吉發集團,2
8455  日本大拓,2
8936A 鴻鋌集團,2
9938  百和集團,2
1473  台南企業集團,2
8942  森鉅集團,2
6261  久元集團,2
6189  豐藝集團,2
6123  上奇,2
6190  萬泰集團,2
6121  新普,2
5903  日商伊藤忠,2
2544  益鼎集團,2
6129  普誠集團,2
1314  威京集團,2
6269  台郡集團,2
6472  保瑞藥業,2
1423  利華集團,2
6208  日揚,2
6138  茂達集團,2
6698A 趙勤孝家族,2
3136  台灣基礎集團,2
3687  茂為歐買尬,2
1537  廣隆集團,2
1608  華榮集團,2
1604  新寶集團,2
1618  嵩益集團,2
4121  優盛,2
4120  友華生醫集團,2
4114  健喬信元集團,2
4164  承業集團,2
4163C 鍾兆塤家族,2
3205  克緹集團,2
4502A 嶸毅投資,2
4562  穎漢,2
4551  智伸科,2
4130B 健亞,2
31796 漢友創投集團,2
6125  廣運集團,2
4903C 許榮唐家族,2
5278  尚凡,2
5015  華祺工業集團,2
5302  太欣集團,2
4906  正文集團,2
4746  台耀,2
1593  祺驊集團,2
1558  伸興集團,2
1459  聯發紡織集團,2
4916  事欣科,2
1530  程泰集團,2
2463  研揚集團,2
5471  松翰集團,2
5609  中菲集團,2
2542B 達麗建設,2
1520  復盛集團,2
5478  智冠集團,2
7566  新力旺國際,2
6283A 敏實集團,2
1734  杏輝集團,2
3060  銘異集團,2
2343  精業集團,2
8436A 林詠翔家族,2
4306  炎洲集團,2
6257  矽格,2
3042  晶技集團,2
4907A 福聚德集團,2
3022  威達電,2
3026  禾伸堂集團,2
3207B 蘇浩熙團隊,2
6223  旺矽集團,2
00002 富拉凱集團,2
6126  信音,2
8213  志超集團,2
2577  亞昕集團,2
5353  台林集團,2
3105A 陳進財家族,2
5425  台半集團,2
3680  家登精密集團,2
1702  南僑集團,2
6122  擎邦國際集團,2
5371  中強光電集團,2
3450  聯鈞集團,2
8081  致新,2
3533  嘉澤,2
6227A MACNICA,2
1714  和桐集團,2
9946A 名發建設集團,2
1903  士林紙業集團,2
1909  榮成集團,2
9957  義聯集團,2
1701  中化製葯集團,2
2010  春源鋼鐵集團,2
2732  六角,2
2610  中華航空集團,2
6004  元大集團,2
9151  旺旺集團,2
2897  王道銀行集團,2
2701  萬華企業集團,2
5484  慧友集團,2
1784  訊聯集團,2
3019  亞光集團,2
6222B 立軒開發,2
3017  奇鋐,2
3011A 石浩吉團隊,2
6290  良維集團,2
9904  寶成工業集團,2
5285  界霖科技,2
2430  燦坤企業集團,2
4113  聯上集團,2
24202 金士頓集團,2
2486  一詮,2
2489  瑞軒科技集團,2
2483  百容集團,2
2484  希華集團,2
2049  上銀,2
5608  慧洋四維集團,2
2520  冠德集團,2
2535  達欣企業集團,2
2472  立隆集團,2
2474  可成集團,2
2334  國豐集團,2
2103  台橡集團,2
2207  和泰集團,2
2206B 千景投資,2
2015  豐興鋼鐵集團,2
2550  德安開發集團,2
2882  霖園集團,2
2476  鉅祥集團,2
2395  研華集團,2
2451  創見集團,2
2405  浩鑫集團,2
2404  漢唐集團,2
2406  國碩集團,2
2417  圓剛集團,2
4416A 三圓集團,2
1409A 新纖集團,2
2429B 世達興實業,2
2063  世鎧集團,2
2373  震旦集團,2
2376  技嘉集團,2
2348A 海悅國際,2
2356  英業達集團,2
2308  台達電子集團,2
6147  頎邦科技,2
Z1479 日亞化集團,2
2360  致茂集團,2
5457A 立訊精密,2
2883A 凱基集團,2
2359  所羅門集團,2
1443  立益紡織集團,2
9912A 偉聯科技,1
1215  台灣卜蜂,1
1103  嘉新水泥集團,1
8482  商億家具,1
8481  政伸,1
8478  東哥,1
8472A 澳台國際,1
8467  波力環球,1
8466  美吉吉,1
9915  億豐集團,1
8462  柏文健康,1
8450  霹靂國際,1
2396  華研集團,1
8444  綠河,1
1474  弘裕,1
8938  明安集團,1
8937A 維樂車業,1
8935A 登財投資,1
8932A 鍾富瑋家族,1
M1510 國華琺瑯集團,1
1445A 建盈,1
2239  長春英利汽車,1
2236  百達精密,1
2235  謚源,1
2231  為升,1
1236  宏亞,1
1234  黑松集團,1
1233  天仁茶葉,1
1213  大飲集團,1
9960  邁達康,1
9958  世紀鋼集團,1
9955  佳龍,1
9951  皇田,1
9950  萬國通,1
9949  琉園,1
2351  順德工業,1
2345  智邦集團,1
2208  台船,1
2337  旺宏集團,1
2316  楠電集團,1
2314A 謝其嘉家族,1
2313  華通電腦,1
2305  全友集團,1
2368  金像電子,1
2365  昆盈集團,1
2364  倫飛集團,1
1337  三斯達,1
2370  恆大集團,1
1452  宏益纖維集團,1
1451  年興集團,1
1449  佳和集團,1
N0055 汎德永業集團,1
2243  宏旭模具,1
2241  艾姆勒,1
4145  繁葵,1
1341  富林塑膠,1
2425B 七彩虹,1
2423  固緯,1
1307  三芳,1
1295  生合集團,1
7418  漢田,1
1264  德麥,1
1418  東華,1
1416  廣豐實業集團,1
1414  東和紡織集團,1
1410  南洋染整集團,1
2355  敬鵬工業,1
2399  映泰,1
2393  億光集團,1
2387  精元電腦集團,1
2383  台光電集團,1
2380  虹光,1
2377  微星集團,1
2369  菱生集團,1
2428  興勤集團,1
2230  泰茂,1
2228  劍麟,1
2221  大甲,1
2067  嘉鋼,1
2066  世德工業,1
2064  晉椿,1
2302  麗正集團,1
2248  華勝汽車電子,1
2022  聚亨集團,1
2115  六暉,1
2114  鑫永銓,1
2107  厚生集團,1
2106  建大工業,1
2105  正新橡膠集團,1
2421  建準,1
2420  新巨,1
2415  錩新,1
2402  毅嘉集團,1
2458  義隆集團,1
2457  飛宏,1
3318  和光集團,1
2453  凌群電腦,1
2449  京元電子,1
2444A 兆勁集團,1
2497  怡利電,1
2496D 陳立教育集團,1
2495  普安,1
2493  揚博,1
2442  新美齊,1
2440A 紅帥工業,1
2439  美律實業,1
2438B 承濬投資,1
2436  偉詮電集團,1
2480  敦陽科,1
2478  大毅,1
2477  美隆電,1
1340  F-勝悅,1
1339  昭輝實業,1
1338  廣華,1
2024A 大盛國際集團,1
2061  風青,1
2059  川湖,1
2038  海光,1
2035  唐榮,1
2034  允強,1
2033  佳大,1
2031  新光鋼,1
2540B 甲山林,1
2538  基泰集團,1
2465A 大訊科技集團,1
2464  盟立,1
2461  光群雷集團,1
2460  建通,1
2459  敦吉,1
2509  全坤集團,1
8453  柳逸義家族,1
2491A 羅福助集團,1
2488  漢平,1
2485  兆赫,1
2482  連宇,1
2596  綠意,1
2548  華固,1
